FID,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,pid,ORIG_FID,Lon,Lat
0,27336706,5122,residential, , ,B,0,0,F,F,1,0,113.270477,23.106894
1,27336706,5122,residential, , ,B,0,0,F,F,1,0,113.2713,23.10652
2,27336706,5122,residential, , ,B,0,0,F,F,1,0,113.272122,23.106146
3,27336706,5122,residential, , ,B,0,0,F,F,1,0,113.272299,23.106084
4,27336706,5122,residential, , ,B,0,0,F,F,1,0,113.273205,23.105766
5,27336706,5122,residential, , ,B,0,0,F,F,1,0,113.274111,23.105449
6,27336706,5122,residential, , ,B,0,0,F,F,1,0,113.27494,23.105303
7,27336706,5122,residential, , ,B,0,0,F,F,1,0,113.275769,23.105157
8,27336706,5122,residential, , ,B,0,0,F,F,1,0,113.276598,23.105011
9,27336706,5122,residential, , ,B,0,0,F,F,1,0,113.277427,23.104865
10,27336706,5122,residential, , ,B,0,0,F,F,1,0,113.278256,23.104719
11,27336706,5122,residential, , ,B,0,0,F,F,1,0,113.278843,23.10456
12,30440816,5153,footway,Lychee Bay Street, ,B,0,0,F,F,1,1,113.231274,23.123459
13,30440816,5153,footway,Lychee Bay Street, ,B,0,0,F,F,1,1,113.231365,23.123501
14,30440816,5153,footway,Lychee Bay Street, ,B,0,0,F,F,1,1,113.231322,23.123635
15,30440816,5153,footway,Lychee Bay Street, ,B,0,0,F,F,1,1,113.231299,23.123705
16,30440816,5153,footway,Lychee Bay Street, ,B,0,0,F,F,1,1,113.231143,23.123628
17,30440816,5153,footway,Lychee Bay Street, ,B,0,0,F,F,1,1,113.231065,23.123577
18,30440816,5153,footway,Lychee Bay Street, ,B,0,0,F,F,1,1,113.23087,23.123271
19,30440816,5153,footway,Lychee Bay Street, ,B,0,0,F,F,1,1,113.230455,23.122764
20,30440816,5153,footway,Lychee Bay Street, ,B,0,0,F,F,1,1,113.230041,23.122257
21,30440816,5153,footway,Lychee Bay Street, ,B,0,0,F,F,1,1,113.229689,23.121871
22,30440816,5153,footway,Lychee Bay Street, ,B,0,0,F,F,1,1,113.229336,23.121486
23,30440816,5153,footway,Lychee Bay Street, ,B,0,0,F,F,1,1,113.228433,23.121251
24,30440816,5153,footway,Lychee Bay Street, ,B,0,0,F,F,1,1,113.227795,23.120858
25,34323888,5153,footway, , ,B,0,0,F,F,1,2,113.295578,23.178716
26,34323888,5153,footway, , ,B,0,0,F,F,1,2,113.29552,23.178695
27,34323888,5153,footway, , ,B,0,0,F,F,1,2,113.295463,23.178678
28,34323888,5153,footway, , ,B,0,0,F,F,1,2,113.295382,23.178661
29,34323888,5153,footway, , ,B,0,0,F,F,1,2,113.29527,23.178618
30,34323888,5153,footway, , ,B,0,0,F,F,1,2,113.295181,23.178584
31,34323888,5153,footway, , ,B,0,0,F,F,1,2,113.295103,23.178567
32,34323888,5153,footway, , ,B,0,0,F,F,1,2,113.295045,23.178558
33,34323888,5153,footway, , ,B,0,0,F,F,1,2,113.295019,23.178512
34,34323888,5153,footway, , ,B,0,0,F,F,1,2,113.294961,23.17851
35,34323888,5153,footway, , ,B,0,0,F,F,1,2,113.294875,23.178538
36,34323888,5153,footway, , ,B,0,0,F,F,1,2,113.294818,23.17857
