FID,Join_Count,TARGET_FID,Id,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,pid,Lon,Lat
0,3,5,0,358455871,5122,residential, , ,B,0,0,F,F,1,113.209934,23.140674
1,3,6,0,358455871,5122,residential, , ,B,0,0,F,F,1,113.209963,23.140939
2,3,7,0,358455871,5122,residential, , ,B,0,0,F,F,1,113.209978,23.141073
3,4,8,0,358455871,5122,residential, , ,B,0,0,F,F,1,113.210018,23.141439
4,4,9,0,358455871,5122,residential, , ,B,0,0,F,F,1,113.210057,23.141793
5,3,10,0,358455871,5122,residential, , ,B,0,0,F,F,1,113.210114,23.142293
6,3,18,0,358455829,5122,residential, , ,B,0,0,F,F,1,113.211177,23.140444
7,3,19,0,358455758,5122,residential, , ,B,0,0,F,F,1,113.21121,23.140699
8,3,20,0,358455758,5122,residential, , ,B,0,0,F,F,1,113.21128,23.141246
9,3,21,0,358455758,5122,residential, , ,B,0,0,F,F,1,113.211288,23.141301
10,3,22,0,358455758,5122,residential, , ,B,0,0,F,F,1,113.211315,23.141512
11,3,23,0,358455758,5122,residential, , ,B,0,0,F,F,1,113.211322,23.141565
12,3,24,0,358455758,5122,residential, , ,B,0,0,F,F,1,113.211347,23.141758
13,4,25,0,358455758,5122,residential, , ,B,0,0,F,F,1,113.211401,23.142179
14,3,33,0,358455761,5122,residential, , ,B,0,0,F,F,1,113.213133,23.14067
15,3,34,0,358455780,5122,residential, , ,B,0,0,F,F,1,113.213206,23.141473
16,3,35,0,358455780,5122,residential, , ,B,0,0,F,F,1,113.213251,23.142037
17,3,39,0,246090108,5122,residential, , ,B,0,0,F,F,1,113.21745,23.142487
18,3,40,0,352610253,5122,residential, , ,B,0,0,F,F,1,113.217834,23.141672
19,3,41,0,352610253,5122,residential, , ,B,0,0,F,F,1,113.218302,23.140654
20,3,44,0,358455841,5122,residential, , ,B,0,0,F,F,1,113.219245,23.140987
21,3,45,0,358455777,5122,residential, , ,B,0,0,F,F,1,113.219304,23.141801
22,3,46,0,358455841,5122,residential, , ,B,0,0,F,F,1,113.220012,23.141258
23,3,58,0,190098762,5115,tertiary,如意坊路, ,B,0,0,F,F,1,113.223431,23.121381
24,3,65,0,447724760,5121,unclassified,同嘉路, ,B,0,0,F,F,1,113.226529,23.162881
25,3,66,0,447613295,5121,unclassified,明德街, ,B,0,0,F,F,1,113.226653,23.162121
26,3,67,0,352610255,5153,footway, , ,B,0,0,F,F,1,113.226067,23.124034
27,2,68,0,352610255,5153,footway, , ,B,0,0,F,F,1,113.226156,23.124082
28,3,72,0,447724761,5121,unclassified,明德街, ,B,0,0,F,F,1,113.227256,23.162195
29,2,73,0,306102831,5122,residential, , ,B,0,0,F,F,1,113.22777,23.184503
30,2,74,0,352610249,5153,footway, , ,B,0,0,T,F,1,113.226852,23.124532
31,3,75,0,447614445,5121,unclassified,明德街, ,B,0,0,F,F,1,113.227515,23.162221
32,2,77,0,447632900,5121,unclassified,明德街, ,B,0,0,F,F,1,113.227627,23.161902
33,3,78,0,447613296,5121,unclassified, , ,B,0,0,F,F,1,113.227785,23.161456
34,3,79,0,352610252,5153,footway, , ,B,0,0,F,F,1,113.227164,23.122881
35,2,87,0,447613502,5121,unclassified,明德街, ,F,0,0,F,F,1,113.228732,23.161784
36,4,95,0,249333037,5122,residential, , ,B,0,0,F,F,1,113.230457,23.138971
37,2,96,0,249333036,5123,living_street, , ,B,0,0,F,F,1,113.230486,23.140089
38,3,97,0,440471883,5122,residential,石路基, ,B,0,0,F,F,1,113.230445,23.13018
39,3,99,0,183555681,5122,residential, , ,B,0,0,F,F,1,113.230775,23.133828
40,2,107,0,249333030,5122,residential, , ,B,0,0,F,F,1,113.231495,23.143209
41,3,109,0,249333034,5124,pedestrian, , ,B,0,0,F,F,1,113.231613,23.139233
42,3,112,0,337386047,5122,residential, , ,B,0,0,F,F,1,113.232346,23.174183
43,3,119,0,249333029,5122,residential, , ,B,0,0,F,F,1,113.232238,23.139305
44,3,120,0,185175550,5122,residential, , ,B,0,0,F,F,1,113.232369,23.132776
45,3,123,0,183554710,5122,residential, , ,B,0,0,F,F,1,113.232371,23.13125
46,3,124,0,269464220,5122,residential,增埗大街, ,B,0,0,F,F,1,113.232678,23.148532
47,4,125,0,443392527,5122,residential, , ,B,0,0,F,F,1,113.232593,23.141753
48,3,126,0,154730474,5122,residential,彭城路, ,B,0,0,F,F,1,113.232741,23.147706
49,3,127,0,154730474,5122,residential,彭城路, ,B,0,0,F,F,1,113.232787,23.144926
50,3,128,0,249333029,5122,residential, , ,B,0,0,F,F,1,113.232691,23.139065
51,3,130,0,249333381,5122,residential, , ,B,0,0,F,F,1,113.232824,23.138996
52,3,131,0,249333381,5122,residential, , ,B,0,0,F,F,1,113.232844,23.138349
53,3,132,0,249333381,5122,residential, , ,B,0,0,F,F,1,113.232852,23.138076
54,3,134,0,269464222,5122,residential,南京路, ,B,0,0,F,F,1,113.23303,23.147997
55,2,135,0,249333031,5122,residential, , ,B,0,0,F,F,1,113.232969,23.139853
56,3,138,0,282005514,5122,residential,周门路, ,B,0,0,F,F,1,113.233037,23.133766
57,4,141,0,282005514,5122,residential,周门路, ,B,0,0,F,F,1,113.233071,23.13276
58,5,142,0,183554710,5122,residential, , ,B,0,0,F,F,1,113.233069,23.131816
59,3,143,0,249333029,5122,residential, , ,B,0,0,F,F,1,113.23321,23.138865
60,3,144,0,282005514,5122,residential,周门路, ,B,0,0,F,F,1,113.233088,23.131173
61,3,147,0,337386046,5122,residential, , ,B,0,0,F,F,1,113.234029,23.17405
62,3,148,0,249333032,5122,residential, , ,B,0,0,F,F,1,113.233482,23.139573
63,3,149,0,183554710,5122,residential, , ,B,0,0,F,F,1,113.233399,23.132142
64,2,150,0,337386046,5122,residential, , ,B,0,0,F,F,1,113.234143,23.175832
65,4,151,0,185548591,5122,residential, , ,B,0,0,F,F,1,113.234354,23.177525
66,2,152,0,449687418,5115,tertiary,富康路, ,B,0,0,F,F,1,113.234516,23.177971
67,3,154,0,185175541,5122,residential, , ,B,0,0,F,F,1,113.234008,23.132753
68,3,157,0,249333383,5122,residential, , ,B,0,0,F,F,1,113.234165,23.138543
69,3,158,0,249333380,5124,pedestrian, , ,B,0,0,F,F,1,113.234172,23.138384
70,3,160,0,249333029,5122,residential, , ,B,0,0,F,F,1,113.234386,23.138468
71,5,161,0,449691088,5115,tertiary,富康路, ,B,0,0,F,F,1,113.235239,23.180155
